"","text","topic","linenumber"
"1","Dying Light Frequently Asked Questions","Frequently asked questions",1
"2","Hi everyone,  Here is a Dying Light FAQ that's in the works.  These are some of the most frequently asked questions that we have coming from you guys, all in one place, with the answers. We will be updating this list as time goes on. _____________________________________________  Q: How can I play online? My friend and I want to play online together but matchmaking seems to be greyed out. My game type is set to Public. A: What you need to do first is to complete the Prologue first. Once you survive your first night in Dying Light, you will have co-op enabled. From then on, you are good to create terror in the city as a duo.  Q: How can I turn off Be the Zombie Invasions? A: Go to Options > Online > Zombie Invasion â€“ that's the place from which you can turn off the Invasions.  Q: At 73% my game bugs out â€“ I cannot move, I cannot hit zombies, everything looks weird.  A: You are in a trance â€“ it's all part of the game. All I can say is listen and follow your heartâ€¦  Q: I can't link my Xbox account with the dockets.dyinglightgame.com site. A: Log in to your Xbox account through http://live.xbox.com. There might be Terms and Conditions that you might need to accept in order to link your account.  Q: My Dying Light game cannot receive any items from the Dying Light Companion App.  A: First, make sure you are connected to the Internet. At the bottom of the Main menu screen in the Dying Light game, you can see if you are connected with the Techland servers.  Second, check to see if the account that you linked on the Weapon Dockets site is the same as the one you are trying link through the App.  ______  Q. Are you working on Dead Island 2 as well? A: Dead Island IP belongs to Deep Silver. The game is being developed by another company.  Q. How do you plan to support DL after launch? DLCs, bug-fixing, servers, content patches? A. Dying Light is a AAA title, and it's our biggest and most ambitious project yet. As such, it will get all the support it deserves.","Frequently asked questions",2
"3","How about fixing the skills and inventory wipe... its game-breaking and im afraid to play until i know its fixed so i dont risk it happening again. Im on PS4 btw and i was at 53%","Frequently asked questions",3
"4","Please post link to a DETAILED Guide for Companion App...aside from just ""send scouts on missions and send the loot to your Dying Light character...","Frequently asked questions",4
"5","Like Viral said, it would be nice if you guys would have fixed the save game issues because playing this game and restarting it over is just a waste of time and money. Pre-ordering this game was a bad mistake and a waste of money.","Frequently asked questions",5
"6","Like Parkour4Zeds my whole inventory and skills got wiped out. Please do something ","Frequently asked questions",6
"7","Ive had 0 bugs so far, bit of lag but my graphics were set too high so im running on medium10/10 Good job techland","Frequently asked questions",7
"8","Will you ever support mods like pretty much every GOOD developer out there does ?","Frequently asked questions",8
"9","when will release the season pass ?","Frequently asked questions",9
"10","Yeah you could fix the whole, once you hit LVL 25 survival there's only 5 melee weapons in the game the katana, sacrificial short sword, chupacabra sword, heavy axe, Egyptian Khopesh. and that's it no matter what chest or police van you open that's all there is no hammers, bats, knives,machetes,nothing blunt at all only 2 handguns 1 shotgun and 2 rifles there's really not much in choices after 25 and i'm only on the 2nd main quest i've been running around looking for blueprints, and just killing things, getting air drops, saving people. It's going to be so bland using the same weapons for the rest of the game. There's no way.","Frequently asked questions",10
"11","Q. How do you disrespect your customers so well? A. That's a good question. We so far have not tested the game prio to release to ensure maximum frustration possible, so the bugs are game breaking. Such as save file corruption, crashes, connection issues etc etc. We then add a little insult to injury by ignoring tickets and forum posts, pretending to work a patch which actually has no effect and giving people irrelevant troubleshooting tips that don't work. It's been an astounding success so far.Edited February 5, 2015 by Speeedy14","Frequently asked questions",11
"12","In the ""be the zombie"" game mode, how do i deal with a troll who will not get out of the water?","Frequently asked questions",12
"13","How do I get my docket codes? It says I have 8 and I still haven't got any in the game.","Frequently asked questions",13
"14","Do Devs read this forum?","Frequently asked questions",14
"15","Do Devs read this forum?Only when they find that one member who is praising their work.  Anytime a logical pot is made regarding all the various issues with this title, it falls on deaf ears and blind eyes.","Frequently asked questions",15
"16","Where are patch notes? ","Frequently asked questions",16
"17","Why use sprint must hold L3, can just change to press only ?","Frequently asked questions",17
"18","They are listening to all your posts. They are putting a patch through to fix some major bugs like the game save issues and crashing. There is a new post on it if you would read through them. They are doing a good job in my eyes. No game is perfect at launch and it takes time to fix all the issues. This is a great game with incredible developers","Frequently asked questions",18
"19","Why use sprint must hold L3, can just change to press only ?you don't need to.just push for sprint and push for stopping. so i am doing.  Q. How do you disrespect your customers so well? A. That's a good question. We so far have not tested the game prio to release to ensure maximum frustration possible, so the bugs are game breaking. Such as save file corruption, crashes, connection issues etc etc. We then add a little insult to injury by ignoring tickets and forum posts, pretending to work a patch which actually has no effect and giving people irrelevant troubleshooting tips that don't work. It's been an astounding success so far. Haha some big child crying here. Thought about there are maybe just about 0.1% of you having such problems? Buy yourself another game - go play Assassines Creed or some other chupacabra.They will do there Job. Wait for it - otherwise patch it on your own, if you are patchmaster. Retail isn't released yet, so some glitches are accaptable ... for me. Thank you Techland for this amazing game!","Frequently asked questions",19
"20","you don't need to.just push for sprint and push for stopping. so i am doing.   Haha some big child crying here. Thought about there are maybe just about 0.1% of you having such problems? Buy yourself another game - go play Assassines Creed or some other chupacabra.They will do there Job. Wait for it - otherwise patch it on your own, if you are patchmaster. Retail isn't released yet, so some glitches are accaptable ... for me. Thank you Techland for this amazing game!I did not pay 60 bucks for a game I cannot play cooperatively.  ","Frequently asked questions",20
"21","A couple of days ago i could use quick join for online play but now its blacked out ive tryed my network and resets with no joy and have completed 93% of the game any is anyone else having thus issue ","Frequently asked questions",21
"22","Progress further into the Game and Finish the Final Mission.  You will then have the Option to Quick Join or Invite Players.","Frequently asked questions",22
"23","can there be a patch for the trophy It's All In the Writing Trophy because many of my friends and other people arent gatting the achievment trophy","Frequently asked questions",23
"24","The DLC quarantine zone has a bugged iron locked box that won't open. Is it just me?","Frequently asked questions",24
"25","Some of the tropihes on PS4 are still glitched even after the 1.2 patch. E.g. It's all in the writing, Tresspassing, Homo Homini Lupus Est, Now it's safe (some people are unable to obtain this) and This is Haraaaan! All of these trophies are glitched and i would appreciate it if these were fixed because then the platinum is within reach for many Dying Light fans!!! ThanksEdited March 8, 2015 by tomosa98","Frequently asked questions",25
"26","They are listening to all your posts. They are putting a patch through to fix some major bugs like the game save issues and crashing. There is a new post on it if you would read through them. They are doing a good job in my eyes. No game is perfect at launch and it takes time to fix all the issues. This is a great game with incredible developersYa.. right... They still have not fixed/removed the most prominent grfx flaw in the game (chromatic aberration) which makes the edges of the screen blurry for no reason and does nothing more than give people headaches. That's the only reason I even bothered to download this patch. I haven't played the game in a month and they can't even fix the damn thing to make it playable..","Frequently asked questions",26
"27","Dying Light Frequently Asked Questions","Frequently asked questions",27
"28","when will u balance the multiplayer on pc? ","Frequently asked questions",28
"29","when will u balance the multiplayer on pc? Was it not balanced in yesterday's patch? Or has the patch not released on pc yet?","Frequently asked questions",29
"30","pre much same thing uv beams and grappling hook chase downs with flare spams and drop kick spams idk man u gotta balance it somehow the hunter on pc almost useless if u time ur little side step even if they get stuck with spit i negates the damage i been seeing this all day today so if my spits cant ever connect ok melee well im still getting two hitted idk how but it still happening ","Frequently asked questions",30
